{60ad353c-ca88-4ac1-a65d-e4a000afbfb4,130}
{754f16ab-28c4-44d0-a420-22286e8c6de8,142}
{84885908-432a-4beb-a2cd-d07400b8223d,235}
{c2e91417-e889-42b1-8d0e-b051957cd43f,268}
{cca58709-a161-4d20-9297-d2faf238909f,312}
{9f06642a-85b2-4190-93fe-4b333a4575ce,342}
{8a667ad4-1206-4e7d-823b-a02e6b4a1456,368}
{c012ac16-dc64-4205-b7d7-53f14d4f870c,369}
{dcffbf57-5264-4668-909a-9e3cf46814e8,486}
{84885908-432a-4beb-a2cd-d07400b8223d,235}
{c2e91417-e889-42b1-8d0e-b051957cd43f,268}
{cca58709-a161-4d20-9297-d2faf238909f,312}
{dcffbf57-5264-4668-909a-9e3cf46814e8,486}
{dcffbf57-5264-4668-909a-9e3cf46814e8,486}
{e969f2e1-bfc3-4f0e-ab77-91d4e8875c7e,536}
{dcffbf57-5264-4668-909a-9e3cf46814e8,486}


{9b4f9c9c-4ba2-496a-b959-a5d4428e9fdf,7}
{395b4d6b-291b-4650-b581-26e96c5025f0,33}
{78ebe105-7db2-4057-a165-237d4aae7cb4,50}
{a8525d3c-1d44-4329-ae7e-6e25808c4c84,54}
{3ca5312a-7d02-4cb6-845c-820d8d31882c,61}
{5d59af35-f535-40a9-ada1-029937572b7c,309}
{883c2749-8b83-4e1a-8846-34247afbc244,340}
{f7a3b4b6-e15e-4f76-be45-1aa153bc0e17,662}
{98878ad4-8f3d-46e2-aef3-cafd0671f9a8,697}
{ef8f1eb4-1dfb-4e47-92ea-955bf052edc8,856}
{ef8f1eb4-1dfb-4e47-92ea-955bf052edc8,856}
{55adf450-2c17-4e1f-a999-6f44398d44aa,869}
{dd64f5a5-a788-48a7-bc58-dfc1272e3ed3,873}
{5ca18bf0-8c39-4106-8268-39b667a26bb7,877}
{3ca5312a-7d02-4cb6-845c-820d8d31882c,61}
{55adf450-2c17-4e1f-a999-6f44398d44aa,869}
{dd64f5a5-a788-48a7-bc58-dfc1272e3ed3,873}
{5ca18bf0-8c39-4106-8268-39b667a26bb7,877}
{3ca5312a-7d02-4cb6-845c-820d8d31882c,61}
{dd64f5a5-a788-48a7-bc58-dfc1272e3ed3,873}
{59efaf7c-338b-4925-bf6d-bda2a3619076,914}
{f21475cc-8845-4564-b01f-622a9725b1cb,1020}
{248def67-2be7-47d6-9762-a96baa224d2f,1210}
{0bf1765b-3b29-461b-b015-38ac922bdffe,1494}
{af4df746-ebcf-4fe7-a888-081b8cbedd81,1629}
{85b70d77-f35e-4f3d-97ba-1ee4da121ef4,1656}
